product_detail,quantity_sold,revenue
Sustainably Grown Organic Lg,4453,21151.75
Dark chocolate Lg,4668,21006
Latte Rg,4497,19112.25
Cappuccino Lg,4151,17641.75
Morning Sunrise Chai Lg,4346,17384
Latte,4602,17257.5
Jamaican Coffee River Lg,4395,16481.25
Sustainably Grown Organic Rg,4329,16233.75
Cappuccino,4266,15997.5
Brazilian Lg,4317,15109.5
Ethiopia Lg,4227,14794.5
Dark chocolate Rg,4007,14024.5
Spicy Eye Opener Chai Lg,4404,13652.4
Ethiopia Rg,4393,13179
Brazilian Rg,4385,13155
Peppermint Lg,4350,13050
English Breakfast Lg,4309,12927
Earl Grey Lg,4245,12735
Serenity Green Tea Lg,4220,12660
Columbian Medium Roast Lg,4195,12585
Traditional Blend Chai Lg,4174,12522
Espresso shot,4165,12495
Jamaican Coffee River Rg,4018,12455.8
Lemon Grass Lg,4089,12267
Our Old Time Diner Blend Lg,3997,11991
Earl Grey Rg,4708,11770
Civet Cat,260,11700
Chocolate Croissant,3096,11625.98
Morning Sunrise Chai Rg,4643,11607.5
Peppermint Rg,4564,11410
Columbian Medium Roast Rg,4547,11367.5
Traditional Blend Chai Rg,4512,11280
Serenity Green Tea Rg,4477,11192.5
Our Old Time Diner Blend Rg,4410,11025
Lemon Grass Rg,4325,10812.5
Spicy Eye Opener Chai Rg,4171,10636.05
English Breakfast Rg,4200,10500
Jamaican Coffee River Sm,4018,9844.1
Ethiopia Sm,4433,9752.6
Brazilian Sm,4310,9482
Our Old Time Diner Blend Sm,4484,8968
Scottish Cream Scone ,1985,8949.45
Ouro Brasileiro shot,3262,8902.2
Columbian Medium Roast Sm,4178,8356
Ginger Scone,2540,8011.61
Jumbo Savory Scone,2028,7626.62
Almond Croissant,1911,7168.13
Croissant,1954,6861.88
Cranberry Scone,2092,6818.44
Chocolate Chip Biscotti,1924,6748.96
Hazelnut Biscotti,2028,6608.01
Ginger Biscotti,1836,6436.56
I Need My Bean! T-shirt,221,6163
Oatmeal Scone,1820,5460
Organic Decaf Blend,206,4657.5
Ethiopia,218,4578
I Need My Bean! Latte cup,315,4509
Brazilian - Organic,214,3852
Our Old Time Diner Blend,183,3294
Primo Espresso Roast,150,3067.5
I Need My Bean! Diner mug,240,2935
Jamacian Coffee River,146,2883.5
Espresso Roast,169,2492.75
Sugar Free Vanilla syrup,2905,2324
Columbian Medium Roast,148,2220
Chocolate syrup,2658,2126.4
Carmel syrup,2576,2060.8
Chili Mayan,148,1972.84
Hazelnut syrup,2372,1897.6
Sustainably Grown Organic,221,1679.6
Morning Sunrise Chai,168,1596
Serenity Green Tea,159,1470.75
English Breakfast,161,1440.95
Traditional Blend Chai,153,1369.35
Peppermint,153,1369.35
Lemon Grass,152,1360.4
Guatemalan Sustainably Grown,134,1340
Spicy Eye Opener Chai,122,1335.9
Earl Grey,142,1270.9
Dark chocolate,118,755.2
